x,y,noisy_x,noisy_y,x_neuron,y_neuron,pattern_str,state_count,is_collision,pattern_idx
-120.0,-120.0,-120.0,-120.0,0,0,x0_y0,4,True,0
-120.0,-113.84615384615384,-120.0,-113.84615384615384,0,0,x0_y0,4,True,0
-113.84615384615384,-120.0,-113.84615384615384,-120.0,0,0,x0_y0,4,True,0
-113.84615384615384,-113.84615384615384,-113.84615384615384,-113.84615384615384,0,0,x0_y0,4,True,0
-120.0,-107.6923076923077,-120.0,-107.6923076923077,0,2,x0_y2,4,True,1
-120.0,-101.53846153846153,-120.0,-101.53846153846153,0,2,x0_y2,4,True,1
-113.84615384615384,-107.6923076923077,-113.84615384615384,-107.6923076923077,0,2,x0_y2,4,True,1
-113.84615384615384,-101.53846153846153,-113.84615384615384,-101.53846153846153,0,2,x0_y2,4,True,1
-120.0,-95.38461538461539,-120.0,-95.38461538461539,0,4,x0_y4,4,True,2
-120.0,-89.23076923076923,-120.0,-89.23076923076923,0,4,x0_y4,4,True,2
-113.84615384615384,-95.38461538461539,-113.84615384615384,-95.38461538461539,0,4,x0_y4,4,True,2
-113.84615384615384,-89.23076923076923,-113.84615384615384,-89.23076923076923,0,4,x0_y4,4,True,2
-120.0,-83.07692307692307,-120.0,-83.07692307692307,0,5,x0_y5,4,True,3
-120.0,-76.92307692307692,-120.0,-76.92307692307692,0,5,x0_y5,4,True,3
-113.84615384615384,-83.07692307692307,-113.84615384615384,-83.07692307692307,0,5,x0_y5,4,True,3
-113.84615384615384,-76.92307692307692,-113.84615384615384,-76.92307692307692,0,5,x0_y5,4,True,3
-120.0,-70.76923076923077,-120.0,-70.76923076923077,0,6,x0_y6,4,True,4
-120.0,-64.61538461538461,-120.0,-64.61538461538461,0,6,x0_y6,4,True,4
-113.84615384615384,-70.76923076923077,-113.84615384615384,-70.76923076923077,0,6,x0_y6,4,True,4
-113.84615384615384,-64.61538461538461,-113.84615384615384,-64.61538461538461,0,6,x0_y6,4,True,4
-120.0,-58.46153846153846,-120.0,-58.46153846153846,0,7,x0_y7,4,True,5
-120.0,-52.30769230769231,-120.0,-52.30769230769231,0,7,x0_y7,4,True,5
-113.84615384615384,-58.46153846153846,-113.84615384615384,-58.46153846153846,0,7,x0_y7,4,True,5
-113.84615384615384,-52.30769230769231,-113.84615384615384,-52.30769230769231,0,7,x0_y7,4,True,5
-120.0,-46.153846153846146,-120.0,-46.153846153846146,0,8,x0_y8,2,True,6
-113.84615384615384,-46.153846153846146,-113.84615384615384,-46.153846153846146,0,8,x0_y8,2,True,6
-120.0,-40.0,-120.0,-40.0,0,9,x0_y9,4,True,7
-120.0,-33.84615384615384,-120.0,-33.84615384615384,0,9,x0_y9,4,True,7
-113.84615384615384,-40.0,-113.84615384615384,-40.0,0,9,x0_y9,4,True,7
-113.84615384615384,-33.84615384615384,-113.84615384615384,-33.84615384615384,0,9,x0_y9,4,True,7
-120.0,-27.692307692307693,-120.0,-27.692307692307693,0,10,x0_y10,4,True,8
-120.0,-21.538461538461533,-120.0,-21.538461538461533,0,10,x0_y10,4,True,8
-113.84615384615384,-27.692307692307693,-113.84615384615384,-27.692307692307693,0,10,x0_y10,4,True,8
-113.84615384615384,-21.538461538461533,-113.84615384615384,-21.538461538461533,0,10,x0_y10,4,True,8
-120.0,-15.384615384615373,-120.0,-15.384615384615373,0,11,x0_y11,2,True,9
-113.84615384615384,-15.384615384615373,-113.84615384615384,-15.384615384615373,0,11,x0_y11,2,True,9
-120.0,-9.230769230769226,-120.0,-9.230769230769226,0,12,x0_y12,4,True,10
-120.0,-3.076923076923066,-120.0,-3.076923076923066,0,12,x0_y12,4,True,10
-113.84615384615384,-9.230769230769226,-113.84615384615384,-9.230769230769226,0,12,x0_y12,4,True,10
-113.84615384615384,-3.076923076923066,-113.84615384615384,-3.076923076923066,0,12,x0_y12,4,True,10
-120.0,3.07692307692308,-120.0,3.07692307692308,0,13,x0_y13,4,True,11
-120.0,9.230769230769226,-120.0,9.230769230769226,0,13,x0_y13,4,True,11
-113.84615384615384,3.07692307692308,-113.84615384615384,3.07692307692308,0,13,x0_y13,4,True,11
-113.84615384615384,9.230769230769226,-113.84615384615384,9.230769230769226,0,13,x0_y13,4,True,11
-120.0,15.384615384615387,-120.0,15.384615384615387,0,14,x0_y14,2,True,12
-113.84615384615384,15.384615384615387,-113.84615384615384,15.384615384615387,0,14,x0_y14,2,True,12
-120.0,21.538461538461547,-120.0,21.538461538461547,0,15,x0_y15,4,True,13
