x,y
-72,72
-48,72
-24,72
-24,48
-48,48
-48,24
-48,0
-48,-24
-72,24
-24,24
0,24
0,0
-24,0
-24,-24
-24,-48
-24,-72
0,-72
-48,-72
-48,-48
-72,-48
-72,-72
0,72
24,72
48,72
48,48
48,24
24,48
72,72
24,24
24,0
48,0
24,-24
48,-24
24,-72
24,-48
48,-48
72,-48
72,-72
48,-72
72,24
